ASSERTION	PATH	GLOBAL	TARGET	SUCCESSFUL_REQUESTS	PERCENT	CONDITION	IS	100
org.nuxeo.cap.bench.Sim00Setup	sim00setup	RUN	1465399522187	 	2.0
Setup	597745055229325785-0	USER	START	1465399522214	0
Setup	597745055229325785-0	REQUEST		Check if group exists	1465399522256	1465399522261	1465399523399	1465399523399	OK	 
Setup	597745055229325785-0	REQUEST		Create group	1465399523450	1465399523455	1465399523543	1465399523543	OK	 
Setup	597745055229325785-0	REQUEST		Check if document exists	1465399523549	1465399523551	1465399523640	1465399523640	OK	 
Setup	597745055229325785-0	REQUEST		Create Workspace as admin	1465399523642	1465399523643	1465399523808	1465399523808	OK	 
Setup	597745055229325785-0	REQUEST		Grant write permission	1465399523811	1465399523813	1465399524007	1465399524007	OK	 
Setup	597745055229325785-0	REQUEST		Check if document exists	1465399524010	1465399524012	1465399524090	1465399524091	OK	 
Setup	597745055229325785-0	REQUEST		Create Folder as admin	1465399524093	1465399524093	1465399524319	1465399524319	OK	 
Setup	597745055229325785-0	REQUEST		Check if user exists	1465399524333	1465399524334	1465399524396	1465399524396	OK	 
Setup	597745055229325785-0	REQUEST		Create user	1465399524398	1465399524399	1465399524433	1465399524433	OK	 
Setup	597745055229325785-0	REQUEST		Check if user exists	1465399524437	1465399524438	1465399524445	1465399524445	OK	 
Setup	597745055229325785-0	REQUEST		Create user	1465399524447	1465399524449	1465399524462	1465399524462	OK	 
Setup	597745055229325785-0	REQUEST		Check if user exists	1465399524465	1465399524466	1465399524472	1465399524472	OK	 
Setup	597745055229325785-0	REQUEST		Create user	1465399524474	1465399524474	1465399524485	1465399524485	OK	 
Setup	597745055229325785-0	REQUEST		Check if user exists	1465399524488	1465399524491	1465399524499	1465399524499	OK	 
Setup	597745055229325785-0	REQUEST		Create user	1465399524500	1465399524501	1465399524514	1465399524514	OK	 
Setup	597745055229325785-0	REQUEST		Check if user exists	1465399524517	1465399524519	1465399524535	1465399524535	OK	 
Setup	597745055229325785-0	REQUEST		Create user	1465399524540	1465399524551	1465399524553	1465399524553	OK	 
Setup	597745055229325785-0	REQUEST		Check if user exists	1465399524555	1465399524557	1465399524567	1465399524567	OK	 
Setup	597745055229325785-0	REQUEST		Create user	1465399524569	1465399524570	1465399524584	1465399524584	OK	 
Setup	597745055229325785-0	REQUEST		Check if user exists	1465399524586	1465399524588	1465399524594	1465399524594	OK	 
Setup	597745055229325785-0	REQUEST		Create user	1465399524595	1465399524603	1465399524610	1465399524610	OK	 
Setup	597745055229325785-0	REQUEST		Check if user exists	1465399524612	1465399524615	1465399524620	1465399524620	OK	 
Setup	597745055229325785-0	REQUEST		Create user	1465399524621	1465399524622	1465399524633	1465399524633	OK	 
Setup	597745055229325785-0	REQUEST		Check if user exists	1465399524635	1465399524636	1465399524643	1465399524643	OK	 
Setup	597745055229325785-0	REQUEST		Create user	1465399524645	1465399524647	1465399524660	1465399524660	OK	 
Setup	597745055229325785-0	REQUEST		Check if user exists	1465399524662	1465399524665	1465399524672	1465399524672	OK	 
Setup	597745055229325785-0	REQUEST		Create user	1465399524673	1465399524678	1465399524685	1465399524685	OK	 
Setup	597745055229325785-0	REQUEST		Check if user exists	1465399524687	1465399524689	1465399524695	1465399524695	OK	 
Setup	597745055229325785-0	REQUEST		Create user	1465399524696	1465399524697	1465399524708	1465399524708	OK	 
Setup	597745055229325785-0	REQUEST		Check if user exists	1465399524711	1465399524715	1465399524721	1465399524721	OK	 
Setup	597745055229325785-0	REQUEST		Create user	1465399524722	1465399524728	1465399524741	1465399524741	OK	 
Setup	597745055229325785-0	REQUEST		Check if user exists	1465399524743	1465399524745	1465399524751	1465399524751	OK	 
