1470226370590;"nbDocs";"average";"imediate"
1470226371091;100.0;142.45013427734375;199.60079956054688
1470226371592;207.0;171.92691040039062;213.1474151611328
1470226372092;528.0;309.8591613769531;642.0
1470226373096;1304.0;481.53619384765625;772.9083862304688
1470226373596;1633.0;509.0398864746094;658.0
1470226378600;5627.0;685.216796875;798.1614379882812
1470226383602;9827.0;743.6809692382812;839.6641845703125
1470226388616;14587.0;800.2523803710938;949.3418579101562
1470226393631;19387.0;834.1005859375;957.1286010742188
1470226398650;24087.0;852.275146484375;936.4415283203125
1470226403652;27227.0;818.5125122070312;627.7489013671875
1470226408660;31627.0;826.3743286132812;878.59423828125
1470226413693;36717.0;847.8697509765625;1011.3252563476562
1470226418713;41597.0;860.7938232421875;972.3052368164062
1470226423714;46427.0;870.6259765625;965.61376953125
1470226428716;51227.0;878.2724609375;959.8080444335938
1470226433718;56017.0;884.5254516601562;957.425537109375
1470226438719;60327.0;882.8643188476562;861.82763671875
1470226443721;63327.0;863.553955078125;599.7601318359375
1470226448722;68087.0;869.1883544921875;951.8096313476562
1470226453724;72537.0;870.4161376953125;889.6441650390625
1470226458726;77337.0;875.4669189453125;959.6161499023438
1470226463751;81957.0;877.8317260742188;919.4029541015625
1470226468752;86427.0;878.6446533203125;893.8212280273438
1470226473754;89427.0;865.1491088867188;599.7601318359375
1470226478831;94227.0;868.9080810546875;945.4402465820312
1470226483834;99027.0;872.89990234375;959.42431640625
1470226485850;100728.0;872.3909301757812;843.75
1470226486350;101063.0;871.5182495117188;670.0
1470226486851;101105.0;868.1372680664062;84.0
